Gene	93207-4gran
fig|6666666.95583.peg.437	0.999684044233807
fig|6666666.95583.peg.2343	0.999368088467614
fig|6666666.95583.peg.1713	0.999052132701422
fig|6666666.95583.peg.361	0.998736176935229
fig|6666666.95583.peg.634	0.998420221169036
fig|6666666.95583.peg.3032	0.998104265402844
fig|6666666.95583.peg.565	0.997788309636651
fig|6666666.95583.peg.1754	0.997472353870458
fig|6666666.95583.peg.3840	0.997156398104265
fig|6666666.95583.peg.1889	0.996840442338073
fig|6666666.95583.peg.2248	0.99652448657188
fig|6666666.95583.peg.328	0.996208530805687
fig|6666666.95583.peg.3490	0.995892575039494
fig|6666666.95583.peg.1820	0.995576619273302
fig|6666666.95583.peg.3295	0.995260663507109
fig|6666666.95583.peg.3048	0.994944707740916
fig|6666666.95583.peg.1773	0.994628751974724
fig|6666666.95583.peg.1694	0.994312796208531
fig|6666666.95583.peg.3515	0.993996840442338
fig|6666666.95583.peg.2620	0.993680884676145
fig|6666666.95583.peg.3049	0.993364928909953
fig|6666666.95583.peg.3572	0.99304897314376
fig|6666666.95583.peg.2123	0.992733017377567
fig|6666666.95583.peg.644	0.992417061611374
fig|6666666.95583.peg.3404	0.992101105845182
fig|6666666.95583.peg.587	0.991785150078989
fig|6666666.95583.peg.1229	0.991469194312796
fig|6666666.95583.peg.1225	0.991153238546603
fig|6666666.95583.peg.3332	0.990837282780411
fig|6666666.95583.peg.1774	0.990521327014218
fig|6666666.95583.peg.76	0.990205371248025
fig|6666666.95583.peg.3047	0.989889415481833
fig|6666666.95583.peg.3573	0.98957345971564
fig|6666666.95583.peg.1777	0.989257503949447
fig|6666666.95583.peg.3334	0.988941548183254
fig|6666666.95583.peg.1453	0.988625592417062
fig|6666666.95583.peg.3610	0.988309636650869
fig|6666666.95583.peg.173	0.987993680884676
fig|6666666.95583.peg.524	0.987677725118483
fig|6666666.95583.peg.2555	0.987361769352291
fig|6666666.95583.peg.2150	0.987045813586098
fig|6666666.95583.peg.3564	0.986729857819905
fig|6666666.95583.peg.669	0.986413902053712
fig|6666666.95583.peg.3744	0.98609794628752
fig|6666666.95583.peg.2336	0.985781990521327
fig|6666666.95583.peg.1833	0.985466034755134
fig|6666666.95583.peg.3739	0.985150078988942
fig|6666666.95583.peg.2981	0.984834123222749
fig|6666666.95583.peg.141	0.984518167456556
fig|6666666.95583.peg.664	0.984202211690363
fig|6666666.95583.peg.3427	0.983886255924171
fig|6666666.95583.peg.2083	0.983570300157978
fig|6666666.95583.peg.1795	0.983254344391785
fig|6666666.95583.peg.3839	0.982938388625592
fig|6666666.95583.peg.1217	0.9826224328594
fig|6666666.95583.peg.2283	0.982306477093207
fig|6666666.95583.peg.1570	0.981990521327014
fig|6666666.95583.peg.3021	0.981674565560821
fig|6666666.95583.peg.724	0.981358609794629
fig|6666666.95583.peg.1808	0.981042654028436
fig|6666666.95583.peg.3065	0.980726698262243
fig|6666666.95583.peg.2586	0.980410742496051
fig|6666666.95583.peg.24	0.980094786729858
fig|6666666.95583.peg.1125	0.979778830963665
fig|6666666.95583.peg.1219	0.979462875197472
fig|6666666.95583.peg.3743	0.97914691943128
fig|6666666.95583.peg.719	0.978830963665087
fig|6666666.95583.peg.1059	0.978515007898894
fig|6666666.95583.peg.194	0.978199052132701
fig|6666666.95583.peg.290	0.977883096366509
fig|6666666.95583.peg.1582	0.977567140600316
fig|6666666.95583.peg.3406	0.977251184834123
fig|6666666.95583.peg.1316	0.976935229067931
fig|6666666.95583.peg.1714	0.976619273301738
fig|6666666.95583.peg.438	0.976303317535545
fig|6666666.95583.peg.3551	0.975987361769352
fig|6666666.95583.peg.1060	0.97567140600316
fig|6666666.95583.peg.1718	0.975355450236967
fig|6666666.95583.peg.1655	0.975039494470774
fig|6666666.95583.peg.140	0.974723538704581
fig|6666666.95583.peg.2311	0.974407582938389
fig|6666666.95583.peg.812	0.974091627172196
fig|6666666.95583.peg.1595	0.973775671406003
