feature_ids	4-gran
fig|6666666.95701.peg.250	0.999753573188763
fig|6666666.95701.peg.181	0.999507146377526
fig|6666666.95701.peg.2426	0.999260719566289
fig|6666666.95701.peg.1978	0.999014292755052
fig|6666666.95701.peg.4340	0.998767865943815
fig|6666666.95701.peg.3365	0.998521439132578
fig|6666666.95701.peg.2564	0.998275012321341
fig|6666666.95701.peg.1976	0.998028585510104
fig|6666666.95701.peg.4049	0.997782158698866
fig|6666666.95701.peg.4513	0.997535731887629
fig|6666666.95701.peg.4048	0.997289305076392
fig|6666666.95701.peg.4400	0.997042878265155
fig|6666666.95701.peg.4028	0.996796451453918
fig|6666666.95701.peg.4040	0.996550024642681
fig|6666666.95701.peg.2425	0.996303597831444
fig|6666666.95701.peg.2219	0.996057171020207
fig|6666666.95701.peg.3645	0.99581074420897
fig|6666666.95701.peg.4249	0.995564317397733
fig|6666666.95701.peg.2146	0.995317890586496
fig|6666666.95701.peg.2208	0.995071463775259
fig|6666666.95701.peg.2099	0.994825036964022
fig|6666666.95701.peg.78	0.994578610152785
fig|6666666.95701.peg.212	0.994332183341548
fig|6666666.95701.peg.2131	0.994085756530311
fig|6666666.95701.peg.3646	0.993839329719073
fig|6666666.95701.peg.3132	0.993592902907836
fig|6666666.95701.peg.1295	0.993346476096599
fig|6666666.95701.peg.1630	0.993100049285362
fig|6666666.95701.peg.2271	0.992853622474125
fig|6666666.95701.peg.4029	0.992607195662888
fig|6666666.95701.peg.4045	0.992360768851651
fig|6666666.95701.peg.1981	0.992114342040414
fig|6666666.95701.peg.4041	0.991867915229177
fig|6666666.95701.peg.1977	0.99162148841794
fig|6666666.95701.peg.2064	0.991375061606703
fig|6666666.95701.peg.2710	0.991128634795466
fig|6666666.95701.peg.533	0.990882207984229
fig|6666666.95701.peg.4026	0.990635781172992
fig|6666666.95701.peg.311	0.990389354361755
fig|6666666.95701.peg.343	0.990142927550517
fig|6666666.95701.peg.4025	0.98989650073928
fig|6666666.95701.peg.416	0.989650073928043
fig|6666666.95701.peg.2100	0.989403647116806
fig|6666666.95701.peg.717	0.989157220305569
fig|6666666.95701.peg.726	0.988910793494332
fig|6666666.95701.peg.2938	0.988664366683095
fig|6666666.95701.peg.4377	0.988417939871858
fig|6666666.95701.peg.2745	0.988171513060621
fig|6666666.95701.peg.1108	0.987925086249384
fig|6666666.95701.peg.3593	0.987678659438147
fig|6666666.95701.peg.4023	0.98743223262691
fig|6666666.95701.peg.580	0.987185805815673
fig|6666666.95701.peg.4284	0.986939379004436
fig|6666666.95701.peg.4027	0.986692952193199
fig|6666666.95701.peg.1727	0.986446525381962
fig|6666666.95701.peg.409	0.986200098570725
fig|6666666.95701.peg.2562	0.985953671759487
fig|6666666.95701.peg.2036	0.98570724494825
fig|6666666.95701.peg.1979	0.985460818137013
fig|6666666.95701.peg.4431	0.985214391325776
fig|6666666.95701.peg.1998	0.984967964514539
fig|6666666.95701.peg.2432	0.984721537703302
fig|6666666.95701.peg.3006	0.984475110892065
fig|6666666.95701.peg.326	0.984228684080828
fig|6666666.95701.peg.2218	0.983982257269591
fig|6666666.95701.peg.1666	0.983735830458354
fig|6666666.95701.peg.2563	0.983489403647117
fig|6666666.95701.peg.538	0.98324297683588
fig|6666666.95701.peg.2192	0.982996550024643
fig|6666666.95701.peg.1631	0.982750123213406
fig|6666666.95701.peg.303	0.982503696402169
fig|6666666.95701.peg.2684	0.982257269590932
fig|6666666.95701.peg.2065	0.982010842779694
fig|6666666.95701.peg.3405	0.981764415968457
fig|6666666.95701.peg.4430	0.98151798915722
fig|6666666.95701.peg.2356	0.981271562345983
fig|6666666.95701.peg.94	0.981025135534746
fig|6666666.95701.peg.3927	0.980778708723509
fig|6666666.95701.peg.762	0.980532281912272
fig|6666666.95701.peg.37	0.980285855101035
fig|6666666.95701.peg.3951	0.980039428289798
fig|6666666.95701.peg.3134	0.979793001478561
fig|6666666.95701.peg.1797	0.979546574667324
fig|6666666.95701.peg.2742	0.979300147856087
fig|6666666.95701.peg.2535	0.97905372104485
fig|6666666.95701.peg.3935	0.978807294233613
fig|6666666.95701.peg.332	0.978560867422376
fig|6666666.95701.peg.2744	0.978314440611138
fig|6666666.95701.peg.2677	0.978068013799901
fig|6666666.95701.peg.4241	0.977821586988664
fig|6666666.95701.peg.3647	0.977575160177427
fig|6666666.95701.peg.1192	0.97732873336619
fig|6666666.95701.peg.1425	0.977082306554953
fig|6666666.95701.peg.2532	0.976835879743716
fig|6666666.95701.peg.2270	0.976589452932479
fig|6666666.95701.peg.1653	0.976343026121242
fig|6666666.95701.peg.4305	0.976096599310005
fig|6666666.95701.peg.2709	0.975850172498768
fig|6666666.95701.peg.519	0.975603745687531
fig|6666666.95701.peg.4325	0.975357318876294
fig|6666666.95701.peg.4014	0.975110892065057
fig|6666666.95701.peg.2678	0.97486446525382
fig|6666666.95701.peg.1710	0.974618038442583
fig|6666666.95701.peg.2714	0.974371611631345
fig|6666666.95701.peg.3620	0.974125184820108
fig|6666666.95701.peg.3130	0.973878758008871
fig|6666666.95701.peg.2848	0.973632331197634
fig|6666666.95701.peg.1436	0.973385904386397
fig|6666666.95701.peg.2720	0.97313947757516
fig|6666666.95701.peg.2849	0.972893050763923
fig|6666666.95701.peg.1791	0.972646623952686
fig|6666666.95701.peg.3133	0.972400197141449
fig|6666666.95701.peg.3297	0.972153770330212
fig|6666666.95701.peg.327	0.971907343518975
fig|6666666.95701.peg.4043	0.971660916707738
fig|6666666.95701.peg.1798	0.971414489896501
fig|6666666.95701.peg.2683	0.971168063085264
fig|6666666.95701.peg.223	0.970921636274027
fig|6666666.95701.peg.2593	0.97067520946279
fig|6666666.95701.peg.450	0.970428782651553
fig|6666666.95701.peg.4213	0.970182355840315
fig|6666666.95701.peg.2318	0.969935929029078
fig|6666666.95701.peg.4191	0.969689502217841
fig|6666666.95701.peg.3597	0.969443075406604
fig|6666666.95701.peg.2717	0.969196648595367
fig|6666666.95701.peg.4285	0.96895022178413
fig|6666666.95701.peg.631	0.968703794972893
fig|6666666.95701.peg.2101	0.968457368161656
